SMILES,Valid,QED,MW,logP,RotB,TPSA,HBD,HBA,Adherence,Weight,Model,Prompt,ConstraintLevel,Temperature,TopP,Prefix
NC1CCCCCC1,True,0.474993618140869,113.204,1.6679,0,26.02,1,1,True,0.9473684210364922,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=NC1=CCCCCCCC1,True,0.5097054353934377,151.253,3.3152000000000026,1,12.36,0,1,True,0.947368348334896,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C#C[C@@H]1CCCN1C,True,0.4140868525355898,109.172,0.7138,0,3.24,0,1,True,0.9405376936143068,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
Cn1cncc1Cn1nnnc1Cc1ccccc1,True,0.6977861152705007,254.297,1.0456999999999996,4,61.42,0,6,True,0.9000000046632484,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(Oc1ccccc1C(=O)O)c1cc2ncccc2o1,True,0.5868532159580453,283.23900000000003,2.7452000000000005,3,89.63000000000001,1,5,True,0.8388572526003696,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CN1CCC[C@H]1C#N,True,0.4563964498192691,110.16,0.6041799999999999,0,27.03,0,2,True,0.7542308143283184,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCN1CC1,True,0.4022676918679091,71.123,0.3218999999999999,1,3.01,0,1,True,0.7500002723358262,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C1CN(c2noc(C3CC3)n2)CCN1,True,0.7361889266251608,194.238,0.3565999999999998,2,54.190000000000005,1,5,True,0.7500000097653263,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CN(C/C=C\Cl)CCCNC(=O)C(C)(C)N,True,0.6579917185531856,247.77,0.9143000000000004,7,58.36,2,3,True,0.75,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CNCC[C@@]1(N)CCOC1,True,0.5721415102649036,144.218,-0.2863000000000002,3,47.28,2,3,True,0.7222078358185805,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CC[C@H]1C[C@@H]1C,True,0.4558533501359529,84.16199999999999,2.0524,1,0.0,0,0,True,0.7000000000000001,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCCC=C1NCCCCS1,True,0.6952149670621383,199.363,3.524700000000002,4,12.03,1,2,True,0.7,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CC(C)CC(=O)NC[C@H]1CCC[C@H]1NC(=O)C1(C(F)F)CC1,True,0.7579264952398196,316.39200000000005,2.4789000000000003,7,58.2,2,2,True,0.6499999994816509,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(NC(=S)Nc1cccc(F)c1)c1ccc(-c2ccc(Cl)c(Cl)c2)o1,True,0.5597475041795312,409.2690000000001,5.519300000000001,3,54.27,2,3,True,0.6499999844246526,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
NCCN1CCC[C@H]1CO,True,0.5559546234690379,144.218,-0.5982000000000001,3,49.49,2,3,True,0.6465490623781139,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
[CH]1CO1,True,0.3526493308967861,43.045,0.17839,0,12.53,0,1,True,0.6362656715750475,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C[C@H]1[C@H]2CC[C@H]1C(CCN(CC1(O)CCOCC1)c1ncccn1)C2,True,0.8589802954169077,345.487,2.8968000000000016,6,58.48,1,5,True,0.6315807538411009,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(O)CSCCNC(=O)N1CCC2(CC1)OCCO2,True,0.7127818308503396,304.36800000000005,0.3527,5,88.10000000000001,2,5,True,0.6000000142735931,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=C/C(C)=C\O,True,0.3779249069342579,84.11799999999998,1.6342,1,20.23,1,1,True,0.6,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C/C=C\CC(=O)OC,True,0.3970055975202387,114.144,1.1256000000000002,2,26.3,0,2,True,0.6,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(O)CNC(=O)c1sc2ccccc2c1Cl,True,0.8989332595166696,269.709,2.3691000000000004,3,66.4,2,3,True,0.5999429054209853,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCOC(=O)C=C(C1CC1)C1CC1,True,0.4965737798099194,194.27399999999992,2.686000000000001,5,26.3,0,2,True,0.5919201201467219,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=CCN(C)C(=O)C(=O)NC[C@]1(OC)CCSC1,True,0.5763509984911059,272.36999999999995,0.2691000000000005,5,58.64,1,4,True,0.5500000035700197,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(CCc1ccncc1)NCC(=O)Nc1cccc2ccccc12,True,0.7284697688884916,333.3910000000001,2.922300000000001,6,71.09,2,3,True,0.5500000019375885,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=C/C=C/CO,True,0.4886513998660104,84.118,0.7208999999999999,2,20.23,1,1,True,0.5462828384048385,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=S(=O)(c1sccc1Cl)N(CCO)CCCO,True,0.7793329831143646,299.80100000000004,0.7669000000000001,7,77.84,2,5,True,0.4999999999999999,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCC(=O)NC[C@H]1CCCN1C(=O)CCNC(=O)C1CCC1,True,0.6705210972778629,337.4640000000001,1.5901999999999998,9,78.51,2,3,True,0.4846617578821475,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
N[C]1CCOC1,True,0.4463994366336574,86.114,-0.10261,0,35.25,1,2,True,0.45,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
N[C]1CCNC1,True,0.4147515078701976,85.13,-0.5296100000000001,0,38.05,2,2,True,0.45,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CNC(=O)[CH]CO,True,0.4660833128175804,102.113,-1.0710100000000002,2,49.33,2,2,True,0.4499999999999999,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(CSc1ncccc1Cl)Nc1ccccc1Oc1ccccc1,True,0.6012587283808066,370.8610000000001,5.258100000000003,6,51.22,1,4,True,0.4499999781117901,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCNC(=O)C(=O)N1CCc2c(Cl)cccc21,True,0.767716706494067,252.701,1.3652,1,49.41,1,2,True,0.4000034783895815,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(Nc1cncnc1Br)c1ccccn1,True,0.8522133188050223,279.097,1.8864,2,67.77000000000001,1,4,True,0.4000000232569766,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=C/C(C)=C/C,True,0.4249887701208261,82.14599999999999,2.1386000000000003,1,0.0,0,0,True,0.4,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C/C=C\C(=O)OC,True,0.3585081503901226,100.117,0.7355,1,26.3,0,2,True,0.4,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CC(C)(C)OC(=O)N[C@H]1C[C@H](c2ncncc2NC(=O)c2ccccn2)C1,True,0.8582256631559347,369.4250000000001,2.8946000000000014,4,106.1,2,6,True,0.399999965114535,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCNC(=O)C(=O)N1CCc2c1cccc2C(F)(F)F,True,0.799315479172878,286.253,1.7305999999999997,1,49.41,1,2,True,0.3999947582920818,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CNc1c2cccc1C2CCCC1CNC1,True,0.7901690549314677,216.32799999999992,2.5633,5,24.06,2,2,True,0.3999731506912297,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCC(=O)NCCCN(C)CC(=O)N1CCOCC1,True,0.628918979938116,299.415,0.4735000000000016,9,61.88000000000001,1,4,True,0.3985140196467595,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
NC(=O)CC(=O)NCCNCc1cnc2ccccn12,True,0.4643502682482376,275.312,-0.5844999999999989,7,101.52,3,5,True,0.3500000005183492,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=S(=O)(c1sccc1Cl)N(CCO)CCOCCO,True,0.640105766175302,329.8270000000001,0.3934000000000002,9,87.07000000000001,2,6,True,0.35,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(CCCc1ccncc1)NCC(=O)Nc1ccc(F)c(F)c1F,True,0.7534544393803763,351.32800000000003,2.5765,7,71.09,2,3,True,0.3365900840401452,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=CC=C(C)C,True,0.4249887701208261,82.14599999999999,2.1386000000000003,1,0.0,0,0,True,0.3282657335136988,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCC(=O)NCCCN(C)CC(=O)N(C)c1nccs1,True,0.6651760435980327,326.46599999999995,1.7341999999999995,10,65.54,1,5,True,0.313684212397059,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(CCCc1ccncc1)NCC1CC1,True,0.792388732145915,218.3,1.9305,6,41.99,1,2,True,0.3095597348346762,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(CSc1ncccc1Cl)Nc1ccccc1C(=O)NCc1ccccc1,True,0.5652399425559036,411.91400000000016,4.395800000000002,7,71.09,2,4,True,0.3000000001136377,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCNC(=O)[CH]CO,True,0.5129163889967012,116.13999999999996,-0.6809099999999999,3,49.33,2,2,True,0.3,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(O)CCCCN1CCOCC1,True,0.6393267693444805,187.239,0.5735000000000001,5,49.77,1,3,True,0.2999757263374106,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCC(=O)NC[C@H]1CCCN1C(=O)CSCC#N,True,0.689753577725892,297.424,1.5405799999999996,8,73.2,1,4,True,0.2907970403178111,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
NC1(N)CCSC1,True,0.4307056409038234,118.205,-0.2630000000000003,0,52.04,2,3,True,0.2777722445456079,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
[CH]1COCCN1,True,0.4393322995293158,86.114,-0.23201,0,21.26,1,2,True,0.272782623937932,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CNc1c2cccc1C2CCCC1CSCCN1,True,0.8526488919078287,262.42199999999985,3.0489000000000006,5,24.06,2,3,True,0.2500113561766581,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CNc1c2cccc1C2CCCC1NOCCO1,True,0.83821663269265,248.3259999999999,2.2214,5,42.52,2,4,True,0.250010991721706,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=C(C)CCNC(=O)C(=O)NCc1ccccc1N1CCOCC1,True,0.6073759784248802,331.41600000000017,1.221799999999999,6,70.67,2,4,True,0.2500000080414396,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=C(C)CCNC(=O)C(=O)NCc1ccccc1Cn1cncn1,True,0.5869688816066609,327.38800000000003,1.024999999999999,7,88.91000000000001,2,5,True,0.2500000072513347,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=C(C)CCNC(=O)C(=O)NCc1ccccc1CN1CCCCC1,True,0.5901475402791018,343.47100000000023,2.3710999999999998,7,61.440000000000005,2,3,True,0.2500000036521168,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CN(C/C=C/Cl)CCCNC(=O)C(C)(C)N,True,0.6579917185531856,247.77,0.9143000000000004,7,58.36,2,3,True,0.25,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C[C@H]1C[C@@H]1C,True,0.4063547758011312,70.135,1.6623,0,0.0,0,0,True,0.25,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=CCN(C)C(=O)C(=O)NC[C@]1(C)CCCS1,True,0.6036265580782426,256.3709999999999,1.0327,4,49.41,1,3,True,0.2499999948257111,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C1CC1,True,0.3814250421649592,42.081,1.1703,0,0.0,0,0,True,0.2499999902346736,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=C(C)CNC(=O)NCCC(C)C,True,0.6295307253383253,184.283,1.9078,5,41.13,2,1,True,0.2499999810551088,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C1CCNCC1,True,0.4576362279207808,85.15,0.7599,0,12.03,1,1,True,0.2499997276641737,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCN1CCC[C@H]1C#N,True,0.5209994058314327,124.187,0.99428,1,27.03,0,2,True,0.2439163137279257,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
NCCOCCN1CCC[C@H]1CO,True,0.547459688476352,188.271,-0.5815999999999999,6,58.72,2,4,True,0.2351087499556778,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(CCCc1ccncc1)NC1CCCCC1,True,0.8676835825404622,246.354,2.853200000000001,5,41.99,1,2,True,0.221114096310483,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C[C@H]1[C@H]2CC[C@H]1C(CCN(CC1(O)CCC1)c1ccccc1)C2,True,0.8367447820246602,313.485,4.480300000000004,6,23.47,1,2,True,0.2105240260425471,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(CSc1ncccc1Cl)Nc1ccccc1C(=O)NC1CC1,True,0.7738150986647282,361.85400000000016,3.358000000000001,6,71.09,2,4,True,0.2000000242065955,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C=CCN(C)C(=O)C(=O)NC[C@]1(OC)CCOC1,True,0.53433603642078,256.3019999999999,-0.4474999999999987,5,67.87,1,4,True,0.2000000016042691,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCC(=O)NCCCN(C)CC(=O)N(C)C1CC1,True,0.6136999013949607,283.41600000000005,1.2354999999999998,10,52.650000000000006,1,3,True,0.1961929525022699,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C[C@H]1[C@H]2CC[C@H]1C(CCN(CC1(O)CC1)c1ccccc1)C2,True,0.8549443434416113,299.458,4.090200000000004,6,23.47,1,2,True,0.157895220116352,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCNC(=O)C(=O)N1CCc2c(Br)cccc21,True,0.7981628575865718,297.152,1.4743000000000002,1,49.41,1,2,True,0.150001330095101,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=S(=O)(c1sccc1Cl)N(CCO)CCO,True,0.7919203513211502,285.774,0.3768000000000002,6,77.84,2,5,True,0.15,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCCC=C1NCCCCS1(C1=NOC1)[C@H]1CCCCC1=O,True,0.7436880440295524,352.5440000000001,4.451500000000004,5,50.690000000000005,1,4,True,0.15,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCCC=C1NCCCCS1(C1=NOC1=S)[C@H]1CCCCC1=O,True,0.5490933541354821,382.5950000000002,4.778900000000004,5,50.690000000000005,1,5,True,0.15,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
NCCCOCCNC(=O)[CH]CO,True,0.4127430970716226,189.235,-1.3354099999999989,8,84.58,3,4,True,0.15,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(CCc1ccncc1)NCC(=O)NCCN1CCCCCC1,True,0.748126541580649,332.4480000000002,1.1225999999999998,8,74.33,2,4,True,0.1499999993541371,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(O)CSCCNC(=O)OC1CCOCC1,True,0.6864886057417741,263.315,0.7093999999999998,6,84.86000000000001,2,5,True,0.1499999946474026,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCOC(=O)C=C1CCCC1,True,0.4776287305648698,168.23599999999993,2.4400000000000004,3,26.3,0,2,True,0.1336132177667438,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(CCCc1ccncc1)NCC(=O)Nc1ccc(F)c(F)c1,True,0.8174429871451541,333.338,2.4374,7,71.09,2,3,True,0.1327360848146956,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCCC(=O)NC[C@H]1CCCN1C(=O)CCNC(=O)CC(C)C,True,0.6372935666684844,339.4800000000001,1.8362,10,78.51,2,3,True,0.1276088550274376,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CCCOC(=O)C=C1CCCCC1,True,0.4952800358759209,182.26299999999992,2.8301000000000016,3,26.3,0,2,True,0.1068905698033582,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(O)CNC(=O)c1ccc(F)cc1,True,0.7467629261800042,197.165,0.6400999999999998,3,66.4,2,2,True,0.1000813682416042,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
CNc1c2cccc1C2CCCC1COC1,True,0.8183194608083232,217.3119999999999,2.9903000000000013,5,21.26,1,2,True,0.1000045014104062,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(Nc1cncnc1[C@H]1C[C@H](O)C1)c1ccccn1,True,0.8788641388116887,270.292,1.3622,3,88.0,2,5,True,0.1000000058142441,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(Nc1cncnc1C(F)(F)F)c1ccccn1,True,0.9056295088956516,268.198,2.1427,2,67.77000000000001,1,4,True,0.1000000058142441,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
Fc1cccc(NC(=S)NC2CCCCCC2)c1,True,0.628088323251209,266.38499999999993,3.834900000000003,2,24.06,2,1,True,0.1000000044500992,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
C[C]1CCCN1,True,0.4599480378971002,84.14200000000001,0.92169,0,12.03,1,1,True,0.1,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
NC(=O)[CH]CO,True,0.4388915522383479,88.086,-1.33171,2,63.32000000000001,2,2,True,0.0999999999999999,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(CCc1ccncc1)NCC(=O)OCc1ccccc1Cl,True,0.7910547946740959,332.78700000000003,2.527200000000001,7,68.29,1,4,True,0.0999999995694247,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
O=C(CCc1ccncc1)NCC(=O)Nc1ccccc1,True,0.8484309168948722,283.331,1.7690999999999997,6,71.09,2,3,True,0.0999999995694247,GPT2-Zinc-87M+SMC,multi_prefix_smc,loose,1.0,0.9,multi_prefix
